X1 cel podstawowe
-10.0 -5051.0 -5050.936813082966
-9.933110367892976 -4951.134519980042 -4951.087406222539
-9.866220735785953 -4852.6023284514295 -4852.57009343203
-9.799331103678929 -4755.394447040481 -4755.375960981843
-9.732441471571907 -4659.501897373523 -4659.496091710075
-9.665551839464882 -4564.915701076869 -4564.921565234577
-9.59866220735786 -4471.626879776846 -4471.643458149484
-9.531772575250836 -4379.62645509977 -4379.571107618729
-9.464882943143813 -4288.905448671966 -4288.861238994191
-9.397993311036789 -4199.454882119751 -4199.420924447234
-9.331103678929766 -4111.265777069451 -4111.2412339370585
-9.264214046822742 -4024.3291551473817 -4024.3132349816697
-9.19732441471572 -3938.636037979868 -3938.6279928027157
-9.130434782608695 -3854.1774471932267 -3854.1765704619593
-9.063545150501673 -3770.944404413784 -3770.95002899106
-8.996655518394649 -3688.9279312678555 -3688.9394275168083
-8.929765886287626 -3608.1190493817667 -3608.1358233852684
-8.862876254180602 -3528.5087803818346 -3528.530272290656
-8.79598662207358 -3450.088145894383 -3450.1138284205144
-8.729096989966555 -3372.84816754573 -3372.8775446418763
-8.662207357859533 -3296.7798669622007 -3296.8124727881814
-8.595317725752508 -3221.8742657701114 -3221.9096642104196
-8.528428093645484 -3148.1223855957846 -3148.160171122629
-8.461538461538462 -3075.515248065544 -3075.5550509265895
-8.39464882943144 -3004.043874805708 -3004.085386899006
-8.327759197324415 -2933.699287442596 -2933.742529598562
-8.26086956521739 -2864.4725076025306 -2864.5150425414495
-8.193979933110368 -2796.354556911834 -2796.398379922617
-8.127090301003344 -2729.3364569968253 -2729.3807607609224
-8.060200668896321 -2663.409229483827 -2663.4536856732543
-7.993311036789297 -2598.5638959991575 -2598.6082398743506
-7.926421404682275 -2534.7914781691406 -2534.8354742597326
-7.8595317725752505 -2472.082997620095 -2472.126431444805
-7.792642140468228 -2410.429475978343 -2410.472150832447
-7.725752508361204 -2349.8219348702037 -2349.8636701021055
-7.658862876254181 -2290.2513959220005 -2290.2920257727296
-7.591973244147157 -2231.708880760052 -2231.748253459394
-7.5250836120401345 -2174.1854110106815 -2174.2233880100803
-7.45819397993311 -2117.6720083002074 -2117.7084635891824
-7.391304347826087 -2062.159694254952 -2062.1945137347966
-7.3244147157190636 -2007.6394905012362 -2007.6725714018373
-7.25752508361204 -1954.1024186653804 -1954.133668996893
-7.190635451505017 -1901.539500373706 -1901.5688384078387
-7.1237458193979935 -1849.941757252534 -1849.9691110299016
-7.05685618729097 -1799.300210928185 -1799.3255177891488
-6.989966555183947 -1749.6058830269794 -1749.6290891640103
-6.923076923076923 -1700.849795175239 -1700.8708552052037
-6.8561872909699 -1653.0229689992846 -1653.0418455543374
-6.789297658862877 -1606.1164261254364 -1606.1330894613661
-6.722408026755852 -1560.1211881800157 -1560.1667008005536
-6.65551839464883 -1515.0282767893443 -1515.070917887184
-6.588628762541806 -1470.8287135797411 -1470.8684890432874
-6.521739130434783 -1427.5135201775295 -1427.5504416227382
-6.454849498327759 -1385.0737182090281 -1385.1078026814632
-6.387959866220736 -1343.5003293005598 -1343.5315989890328
-6.321070234113712 -1302.7843750784436 -1302.8128570397203
-6.25418060200669 -1262.9168771690024 -1262.9426030630782
-6.187290969899665 -1223.8888571985551 -1223.9118630340324
-6.120401337792643 -1185.6913367934246 -1185.7116626825507
-6.053511705685619 -1148.3153375799295 -1148.3330275028761
-5.986622073578595 -1111.7518811843927 -1111.7669827623804
-5.919732441471572 -1075.9919892331345 -1076.00455351003
-5.852842809364549 -1041.0266833524754 -1041.036764584505
-5.785953177257525 -1006.8469851687369 -1006.8546406219803
-5.719063545150502 -973.4439163082395 -973.4492060635897
-5.6521739130434785 -940.8084983973044 -940.8114851625904
-5.585284280936455 -908.9317530622523 -908.9325019912426
-5.518394648829432 -877.804701929404 -877.803280447423
-5.451505016722408 -847.4183666250808 -847.4148442609836
-5.384615384615385 -817.7637687756034 -817.7582169998715
-5.317725752508362 -788.8319300072926 -788.8244220760242
-5.250836120401338 -760.6138719464693 -760.6044827510516
-5.183946488294315 -733.1006162194547 -733.0894221417199
-5.117056856187292 -706.2831844525695 -706.2702632252466
-5.050167224080268 -680.1525982721347 -680.1380288444191
-4.983277591973244 -654.6998793044708 -654.6837417125513
-4.916387959866221 -629.9160491758993 -629.8984244182863
-4.849498327759197 -605.792129512741 -605.7730994302538
-4.782608695652174 -582.3191419413166 -582.2987891016011
-4.7157190635451505 -559.4881080879471 -559.4665156743981
-4.648829431438127 -537.2900495789535 -537.2673012839354
-4.581939799331104 -515.7159880406566 -515.6921679629191
-4.51505016722408 -494.75694509937733 -494.7321376455786
-4.448160535117057 -474.4039423814366 -474.3782321716922
-4.381270903010034 -454.6480015131553 -454.6214732905455
-4.31438127090301 -435.4801441208544 -435.4528826648305
-4.247491638795987 -416.89139183085473 -416.8634818744977
-4.1806020066889635 -398.87276626947715 -398.84429242057143
-4.11371237458194 -381.4152890630428 -381.38633572894054
-4.046822742474917 -364.5099818378725 -364.48063315413515
-3.9799331103678934 -348.147866220287 -348.1182059831032
-3.91304347826087 -332.31996383660737 -332.29007543899803
-3.8461538461538467 -317.0172963131545 -316.9872626849909
-3.7792642140468233 -302.2308852762492 -302.2007888281223
-3.7123745819398 -287.95175235221245 -287.921674923206
-3.6454849498327766 -274.1709191673652 -274.14094197680106
-3.5785953177257532 -260.8794073480284 -260.8496109512672
-3.511705685618729 -248.0682385205226 -248.03870276892022
-3.4448160535117056 -235.72843431116925 -235.6992383163036
-3.3779264214046822 -223.85101634628896 -223.82223844859294
-3.311036789297659 -212.42700625220274 -212.39872399415128
-3.2441471571906355 -201.44742565523143 -201.41971575925177
-3.177257525083612 -190.90329618169596 -190.87623453298278
-3.1103678929765888 -180.78563945791723 -180.75930109235063
-3.0434782608695654 -171.08547711021617 -171.05993620759173
-2.976588628762542 -161.7938307649137 -161.76916064770015
-2.9096989966555187 -152.9017220483307 -152.87799518617203
-2.8428093645484953 -144.40017258678807 -144.37746060695733
-2.775919732441472 -136.28020400660677 -136.25857771059577
-2.7090301003344486 -128.5328379341077 -128.5123673204929
-2.642140468227425 -121.14909599561172 -121.12985028926472
-2.575250836120402 -114.1199998174398 -114.10204750503794
-2.5083612040133785 -107.4365710259128 -107.41997989753595
-2.441471571906355 -101.08983124735167 -101.07466844370197
-2.3745819397993317 -95.0708021080773 -95.05713417249639
-2.3076923076923084 -89.37050523441062 -89.35839816834859
-2.240802675585285 -83.97996225267252 -83.96948157251923
-2.1739130434782616 -78.89019478918392 -78.88140558131249
-2.1070234113712374 -74.09222447026566 -74.08519143962727
-2.040133779264214 -69.57707292223878 -69.57186042769216
-1.9732441471571907 -65.33576177142416 -65.33243383790017
-1.9063545150501682 -61.359312644142705 -61.3579329373181
-1.839464882943144 -57.63874716671519 -57.63937890948057
-1.7725752508361214 -54.165086965462756 -54.16779276619352
-1.7056856187290972 -50.92935366670609 -50.934195215776974
-1.6387959866220747 -47.92256889676629 -47.92960646774132
-1.5719063545150505 -45.13575428196412 -45.145045944116106
-1.505016722408028 -42.55993144862061 -42.57153185266134
-1.4381270903010037 -40.18612202305655 -40.20008055388444
-1.3712374581939795 -38.00534763159292 -38.021705617094014
-1.304347826086957 -36.00862990055068 -36.027416402106255
-1.2374581939799327 -34.18699045625064 -34.2082159082118
-1.1705685618729103 -32.5314509250138 -32.555097475618176
-1.103678929765886 -31.033032933160975 -31.059039663118657
-1.0367892976588635 -29.682758107013175 -29.71099818194184
-0.9698996655518393 -28.47164807289122 -28.50189300202511
-0.9030100334448168 -27.3907244571161 -27.422587419062154
-0.8361204013377925 -26.43100888600866 -26.46385355439267
-0.76923076923077 -25.583522985889857 -25.61631476716258
-0.7023411371237458 -24.839288383080568 -24.87034888594846
-0.6354515050167233 -24.189326703901735 -24.215926764932888
-0.5685618729096991 -23.62465957467424 -23.642353289316542
-0.5016722408026766 -23.136308621719014 -23.137900221940825
-0.43478260869565233 -22.71529547135695 -22.689479281556064
-0.36789297658862985 -22.352641749908976 -22.28309673553161
-0.3010033444816056 -22.039369083695988 -21.90714156053285
-0.23411371237458312 -21.76649909903891 -21.56041730911234
-0.16722408026755886 -21.52505342225864 -21.257235450132406
-0.10033444816053638 -21.306053679676097 -21.011699437540383
-0.03344481605351213 -21.100521497612185 -20.815325205945502
0.03344481605351213 -20.899478502387815 -20.64303569794709
0.1003344481605346 -20.69394632032391 -20.4713197187093
0.16722408026755886 -20.47494657774136 -20.28398417223189
0.23411371237458134 -20.233500900961097 -20.06978539798555
0.3010033444816056 -19.960630916304012 -19.81964832054032
0.3678929765886281 -19.64735825009103 -19.525199520509133
0.43478260869565233 -19.28470452864305 -19.17817922605919
0.5016722408026748 -18.863691378280997 -18.77024899955659
0.5685618729096991 -18.37534042532576 -18.29295002394774
0.6354515050167215 -17.81067329609828 -17.737711204818613
0.7023411371237458 -17.160711616919432 -17.095869727048566
0.7692307692307683 -16.41647701411016 -16.35869153734808
0.8361204013377925 -15.568991113991341 -15.517388330148366
0.903010033444815 -14.609275542883926 -14.563130714515388
0.9698996655518393 -13.528351927108778 -13.48746885151635
1.0367892976588617 -12.31724189298686 -12.280773384182432
1.103678929765886 -10.966967066839022 -10.933912706724186
1.1705685618729085 -9.468549074986246 -9.439020696666637
1.2374581939799327 -7.813009543749361 -7.786682664660821
1.3043478260869552 -5.991370099449368 -5.967962345299398
1.3712374581939795 -3.9946523684070794 -3.9739166180957035
1.4381270903010037 -1.8138779769434503 -1.7955968836145217
1.5050167224080262 0.5599314486205422 0.5759498716468023
1.5719063545150505 3.135754281964118 3.1496802455455573
1.638795986622073 5.922568896766222 5.934553769684481
1.7056856187290972 8.929353666706092 8.939532396293988
1.7725752508361197 12.165086965462667 12.17358009147636
1.839464882943144 15.638747166715198 15.645662511344835
1.9063545150501664 19.359312644142598 19.364746743215306
1.9732441471571907 23.335761771424153 23.33980109818056
2.040133779264213 27.57707292223874 27.579794944497614
2.1070234113712374 32.09222447026566 32.09369857355625
2.17391304347826 36.89019478918379 36.890483091952916
2.240802675585284 41.97996225267244 41.97912033454237
2.3076923076923066 47.37050523441047 47.36858279436151
2.374581939799331 53.07080210807723 53.06784356612148
2.4414715719063533 59.0898312473515 59.08587630057572
2.5083612040133776 65.43657102591271 65.43165516756567
2.5752508361204 72.1199998174396 72.1141548259231
2.6421404682274243 79.14909599561162 79.14235039872597
2.709030100334447 86.53283793410748 86.52521745264559
2.775919732441471 94.28020400660667 94.27173198034
2.8428093645484935 102.40017258678787 102.3908703850073
2.909698996655518 110.90172204833058 110.89160946637156
2.976588628762542 119.79383076491371 119.78292640748302
3.0434782608695645 129.08547711021606 129.073798761836
3.1103678929765888 138.78563945791723 138.77320444039353
3.1772575250836113 148.90329618169582 148.89012169819148
3.2441471571906355 159.44742565523143 159.4335291202779
3.311036789297658 170.4270062522026 170.4124056067967
3.3779264214046822 181.85101634628896 181.8357303570997
3.4448160535117047 193.72843431116908 193.71248285280728
3.511705685618729 206.0682385205226 206.0516428398046
3.5785953177257515 218.879407348028 218.86219030917766
3.6454849498327757 232.170919167365 232.15310547715563
3.712374581939798 245.9517523522121 245.93336876412798
3.7792642140468224 260.23088527624896 260.21196077285583
3.846153846153845 275.017296313154 274.9978622659916
3.913043478260869 290.31996383660714 290.30005414305697
3.9799331103678917 306.1478662202866 306.12751741701834
4.046822742474916 322.50998183787226 322.48923319062465
4.113712374581938 339.4152890630424 339.39418263264923
4.180602006688963 356.872766269477 356.8513469542027
4.247491638795985 374.8913918308542 374.8697073852461
4.314381270903009 393.48014412085405 393.45824515145875
4.381270903010034 412.6480015131553 412.6259414515691
4.448160535117056 432.4039423814363 432.38177743527547
4.51505016722408 452.75694509937733 452.73473418185023
4.581939799331103 473.7159880406563 473.6937926795038
4.648829431438127 495.2900495789535 495.26793380559195
4.71571906354515 517.4881080879469 517.4661383076998
4.782608695652174 540.3191419413166 540.2973867856554
4.849498327759196 563.7921295127406 563.7642209874126
4.916387959866221 587.9160491758993 587.8884065674043
4.983277591973243 612.6998793044704 612.6725113765832
5.050167224080267 638.1525982721344 638.1256256239956
5.11705685618729 664.2831844525688 664.2566787807324
5.183946488294314 691.1006162194544 691.0746534930953
5.2508361204013365 718.6138719464686 718.5885293672907
5.317725752508361 746.8319300072922 746.8072853855772
5.384615384615383 775.7637687756026 775.7399001662341
5.4515050167224075 805.4183666250804 805.3953520150227
5.51839464882943 835.8047019294033 835.7826189353289
5.585284280936454 866.9317530622518 866.9184682126695
5.652173913043477 898.8084983973034 898.7964286784759
5.719063545150501 931.4439163082391 931.433138073269
5.785953177257525 964.8469851687369 964.8375732113592
5.852842809364548 999.026683352475 999.0187105799906
5.919732441471572 1033.9919892331345 1033.9855263320821
5.986622073578594 1069.7518811843922 1069.746996279012
6.053511705685619 1106.3153375799295 1106.312095883394
