X1 cel rozszerzone
-10.0 -5051.0 -5214.947835397857
-9.933110367892976 -4951.134519980042 -5113.576831200649
-9.866220735785953 -4852.6023284514295 -5013.538175960199
-9.799331103678929 -4755.394447040481 -4914.823020294127
-9.732441471571907 -4659.501897373523 -4817.422514820067
-9.665551839464882 -4564.915701076869 -4721.327810155641
-9.59866220735786 -4471.626879776846 -4626.5300569184865
-9.531772575250836 -4379.62645509977 -4533.020405726223
-9.464882943143813 -4288.905448671966 -4440.790007196484
-9.397993311036789 -4199.454882119751 -4349.830011946898
-9.331103678929766 -4111.265777069451 -4260.131570595092
-9.264214046822742 -4024.3291551473817 -4171.685833758695
-9.19732441471572 -3938.636037979868 -4084.4839520553373
-9.130434782608695 -3854.1774471932267 -3998.5170761026434
-9.063545150501673 -3770.944404413784 -3913.776356518245
-8.996655518394649 -3688.9279312678555 -3830.2529439197697
-8.929765886287626 -3608.1190493817667 -3747.937988924847
-8.862876254180602 -3528.5087803818346 -3666.822642151104
-8.79598662207358 -3450.088145894383 -3586.8980542161703
-8.729096989966555 -3372.84816754573 -3508.155375737673
-8.662207357859533 -3296.7798669622007 -3430.585757333243
-8.595317725752508 -3221.8742657701114 -3354.1803496205052
-8.528428093645484 -3148.1223855957846 -3278.9303032170906
-8.461538461538462 -3075.515248065544 -3204.8267687406296
-8.39464882943144 -3004.043874805708 -3131.860896808748
-8.327759197324415 -2933.699287442596 -3060.023838039073
-8.26086956521739 -2864.4725076025306 -2989.306743049236
-8.193979933110368 -2796.354556911834 -2919.700762456866
-8.127090301003344 -2729.3364569968253 -2851.197046879587
-8.060200668896321 -2663.409229483827 -2783.7867469350354
-7.993311036789297 -2598.5638959991575 -2717.4610132408297
-7.926421404682275 -2534.7914781691406 -2652.210996414608
-7.8595317725752505 -2472.082997620095 -2588.027847073991
-7.792642140468228 -2410.429475978343 -2524.902715836613
-7.725752508361204 -2349.8219348702037 -2462.8267533200983
-7.658862876254181 -2290.2513959220005 -2401.791110142079
-7.591973244147157 -2231.708880760052 -2341.786936920181
-7.5250836120401345 -2174.1854110106815 -2282.805384272035
-7.45819397993311 -2117.6720083002074 -2224.837602815267
-7.391304347826087 -2062.159694254952 -2167.8747431675074
-7.3244147157190636 -2007.6394905012362 -2111.9079559463844
-7.25752508361204 -1954.1024186653804 -2056.9283917695266
-7.190635451505017 -1901.539500373706 -2002.9272012545614
-7.1237458193979935 -1849.941757252534 -1949.8955350191186
-7.05685618729097 -1799.300210928185 -1897.8245436808265
-6.989966555183947 -1749.6058830269794 -1846.7053778573131
-6.923076923076923 -1700.849795175239 -1796.5291881662076
-6.8561872909699 -1653.0229689992846 -1747.2871252251373
-6.789297658862877 -1606.1164261254364 -1698.9703396517325
-6.722408026755852 -1560.1211881800157 -1651.5699820636207
-6.65551839464883 -1515.0282767893443 -1605.077203078431
-6.588628762541806 -1470.8287135797411 -1559.48315331379
-6.521739130434783 -1427.5135201775295 -1514.7789833873296
-6.454849498327759 -1385.0737182090281 -1470.9558439166744
-6.387959866220736 -1343.5003293005598 -1428.0048855194568
-6.321070234113712 -1302.7843750784436 -1385.917258813302
-6.25418060200669 -1262.9168771690024 -1344.6841144158413
-6.187290969899665 -1223.8888571985551 -1304.2966029447007
-6.120401337792643 -1185.6913367934246 -1264.7458750175113
-6.053511705685619 -1148.3153375799295 -1226.0230812518994
-5.986622073578595 -1111.7518811843927 -1188.1193722654946
-5.919732441471572 -1075.9919892331345 -1151.0258986759252
-5.852842809364549 -1041.0266833524754 -1114.73381110082
-5.785953177257525 -1006.8469851687369 -1079.2342601578068
-5.719063545150502 -973.4439163082395 -1044.518396464515
-5.6521739130434785 -940.8084983973044 -1010.5773706385728
-5.585284280936455 -908.9317530622523 -977.4023332976086
-5.518394648829432 -877.804701929404 -944.9844350592509
-5.451505016722408 -847.4183666250808 -913.3148265411286
-5.384615384615385 -817.7637687756034 -882.3846583608698
-5.317725752508362 -788.8319300072926 -852.1850811361029
-5.250836120401338 -760.6138719464693 -822.707245484457
-5.183946488294315 -733.1006162194547 -793.9423020235603
-5.117056856187292 -706.2831844525695 -765.8814013710414
-5.050167224080268 -680.1525982721347 -738.5156941445288
-4.983277591973244 -654.6998793044708 -711.8363309616503
-4.916387959866221 -629.9160491758993 -685.8344624400361
-4.849498327759197 -605.792129512741 -660.5012391973133
-4.782608695652174 -582.3191419413166 -635.8278118511112
-4.7157190635451505 -559.4881080879471 -611.8053310190578
-4.648829431438127 -537.2900495789535 -588.424947318782
-4.581939799331104 -515.7159880406566 -565.6778113679121
-4.51505016722408 -494.75694509937733 -543.5550737840767
-4.448160535117057 -474.4039423814366 -522.0478851849043
-4.381270903010034 -454.6480015131553 -501.1473961880235
-4.31438127090301 -435.4801441208544 -480.84475741106274
-4.247491638795987 -416.89139183085473 -461.1311194716507
-4.1806020066889635 -398.87276626947715 -441.99763298741567
-4.11371237458194 -381.4152890630428 -423.43544857598636
-4.046822742474917 -364.5099818378725 -405.4357168549911
-3.9799331103678934 -348.147866220287 -387.9895884420587
-3.91304347826087 -332.31996383660737 -371.08821395481743
-3.8461538461538467 -317.0172963131545 -354.7227440108959
-3.7792642140468233 -302.2308852762492 -338.88432922792276
-3.7123745819398 -287.95175235221245 -323.5641202235264
