X1 cel podstawowe
-1000.0 -5000003021.0 -5.000003020946174E9
-979.7979797979798 -4703053257.261193 -4.703053257202639E9
-959.5959595959596 -4418099795.693162 -4.418099795631436E9
-939.3939393939394 -4144895289.859392 -4.144895289795877E9
-919.1919191919192 -3883192393.3233767 -3.883192393259295E9
-898.989898989899 -3632743759.648602 -3.6327437595850325E9
-878.7878787878788 -3393302042.398558 -3.393302042336449E9
-858.5858585858587 -3164619895.136736 -3.164619895076918E9
-838.3838383838383 -2946449971.4266205 -2.9464499713698163E9
-818.1818181818182 -2738544924.831706 -2.738544924778542E9
-797.9797979797979 -2540657408.9154773 -2.5406574088664894E9
-777.7777777777778 -2352540077.241427 -2.352540077197073E9
-757.5757575757576 -2173945583.3730416 -2.173945583333707E9
-737.3737373737374 -2004626580.8738122 -2.0046265808398113E9
-717.1717171717172 -1844335723.3072271 -1.8443357232788184E9
-696.969696969697 -1692825664.2367759 -1.6928256642141593E9
-676.7676767676768 -1549849057.2259471 -1.5498490572092743E9
-656.5656565656566 -1415158555.8382304 -1.4151585558276074E9
-636.3636363636364 -1288506813.637115 -1.288506813632605E9
-616.1616161616162 -1169646484.18609 -1.1696464841877196E9
-595.959595959596 -1058330221.0486448 -1.058330221056405E9
-575.7575757575758 -954310677.7882683 -9.543106778021196E8
-555.5555555555557 -857340507.9684503 -8.573405079883254E8
-535.3535353535353 -767172365.1526786 -7.671723651784836E8
-515.1515151515152 -683558902.9044442 -6.83558902936063E8
-494.949494949495 -606252774.7872348 -6.062527748245301E8
-474.7474747474748 -535006634.36454046 -5.3500663440735626E8
-454.5454545454546 -469573135.1998499 -4.69573135248014E8
-434.3434343434344 -409704930.85665256 -4.097049309099773E8
-414.1414141414142 -355154674.8984376 -3.551546749567226E8
-393.939393939394 -305675020.8886942 -3.056750209517272E8
-373.7373737373738 -261018622.39091158 -2.6101862245847028E8
-353.5353535353536 -220938132.96857882 -2.2093813304043213E8
-333.33333333333337 -185186206.18518525 -1.851862062610946E8
-313.13131313131316 -153515495.60422 -1.5351549568394044E8
-292.92929292929296 -125678654.78917223 -1.2567865487245366E8
-272.72727272727275 -101428337.30353121 -1.0142833739011917E8
-252.52525252525254 -80517196.71078607 -8.051719680042301E7
-232.32323232323233 -62697886.57442603 -6.269788666685199E7
-212.12121212121212 -47723060.45794029 -4.772306055289382E7
-191.91919191919192 -35345371.92481802 -3.5345372022037014E7
-171.71717171717182 -25317474.538548473 -2.531747463777084E7
-151.51515151515162 -17392021.862620734 -1.7392021963585142E7
-131.3131313131314 -11321667.460524049 -1.1321667562970573E7
-111.1111111111112 -6859064.895747616 -6859064.99941835
-90.90909090909099 -3756867.731780626 -3756867.8364202683
-70.70707070707078 -1767729.532112272 -1767729.6374686935
-50.505050505050576 -644303.8602317458 -644303.9660566476
-30.30303030303037 -139244.2796282392 -139244.38567633572
-10.10101010101016 -5204.353790944944 -5204.459823456428
10.101010101010047 5162.3537909447705 5162.248008857022
30.303030303030255 139202.27962823765 139202.17432602923
50.50505050505035 644261.860231737 644261.7556318572
70.70707070707067 1767687.5321122636 1767687.4284327507
90.90909090909076 3756825.731780598 3756825.629231843
111.11111111111109 6859022.895747595 6859022.794533243
131.31313131313118 11321625.460523989 1.1321625360840496E7
151.5151515151515 17391979.862620696 1.739197976465701E7
171.7171717171716 25317432.538548376 2.5317432442485668E7
191.91919191919192 35345329.92481802 3.534532983082939E7
212.121212121212 47723018.45794021 4.772301836619048E7
232.32323232323233 62697844.57442603 6.269784448507145E7
252.52525252525243 80517154.71078597 8.051715462397395E7
272.72727272727275 101428295.30353121 1.0142829521940026E8
292.92929292929284 125678612.78917208 1.2567861270785147E8
313.13131313131294 153515453.60421965 1.5351545352582926E8
333.33333333333326 185186164.18518507 1.851861641098351E8
353.53535353535335 220938090.9685784 2.2093809089636937E8
373.7373737373737 261018580.39091134 2.610185803219338E8
393.93939393939377 305674978.8886937 3.056749788230281E8
414.1414141414141 355154632.8984373 3.551546328361537E8
434.3434343434342 409704888.85665196 4.0970488879781014E8
454.5454545454545 469573093.1998496 4.6957309314449865E8
474.7474747474746 535006592.3645397 5.350065923127181E8
494.9494949494949 606252732.7872347 6.0625273273897E8
515.151515151515 683558860.9044434 6.835588608597524E8
535.3535353535353 767172323.1526786 7.671723231115673E8
555.5555555555554 857340465.9684492 8.573404659309117E8
575.7575757575758 954310635.7882683 9.543106357542875E8
595.9595959595958 1058330179.0486442 1.058330179018192E9
616.1616161616162 1169646442.18609 1.169646442159127E9
636.3636363636363 1288506771.637114 1.2885067716135883E9
656.5656565656564 1415158513.838229 1.4151585138180773E9
676.7676767676767 1549849015.2259462 1.5498490152090945E9
696.9696969696968 1692825622.236774 1.692825622223135E9
717.1717171717171 1844335681.3072262 1.8443356812967014E9
737.3737373737372 2004626538.8738105 2.004626538866289E9
757.5757575757575 2173945541.3730407 2.1739455413684E9
777.7777777777776 2352540035.241425 2.35254003523953E9
797.9797979797979 2540657366.9154773 2.54065736691618E9
818.181818181818 2738544882.8317037 2.7385448828348465E9
838.3838383838383 2946449929.4266205 2.9464499294320297E9
858.5858585858584 3164619853.136734 3.164619853144225E9
878.7878787878788 3393302000.398558 3.393302000407935E9
898.9898989898988 3632743717.6486006 3.6327437176596546E9
919.1919191919192 3883192351.3233767 3.883192351335885E9
939.3939393939393 4144895247.859391 4.1448952478731194E9
959.5959595959594 4418099753.693158 4.418099753707858E9
979.7979797979797 4703053215.261191 4.703053215276605E9
1000.0 5000002979.0 5.000002979015851E9
