nr_generacji najgorsza srednia najlepsza
0 NaN 651.347960 1.000000
1 NaN 46.255714 1.000000
2 NaN 30.772640 1.000000
3 NaN 26.508500 179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
4 NaN 41.734680 0.875000
5 NaN 29.516651 0.750000
6 NaN 42.483370 179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
7 NaN 14.529803 0.625000
8 NaN 69.093194 1.125000
9 NaN 24.690640 0.625000
10 NaN 373.113503 0.956250
11 NaN 15.843287 0.625000
12 NaN 27.269539 0.625000
13 NaN 15.052582 0.625000
14 NaN 31.056411 1.020000
15 NaN 874.703479 0.631250
16 NaN 32.810729 0.500000
17 NaN 25.529387 0.500000
18 NaN 44.934768 0.685000
19 NaN 16.591932 0.937500
20 NaN 18.202076 179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
21 NaN 30.262130 0.500000
22 NaN 4376816186623593000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000 0.630000
23 NaN 1839.486581 0.500000
24 NaN 14.994047 0.500000
25 NaN 16.960820 0.687500
26 NaN 32.594695 0.687500
27 NaN 18.134827 0.749375
28 NaN 13.130130 0.687500
29 NaN 20.832655 0.500000
30 NaN 189.657202 179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
31 NaN 49.215463 0.500000
32 NaN 18.838490 0.687500
33 NaN 20.648129 0.500000
34 NaN 28.060427 0.500000
35 NaN 24.206580 0.500000
36 NaN 20.643279 0.625000
37 NaN 646.297634 0.500000
38 NaN 18.751543 0.500000
39 NaN 15.633177 179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
40 NaN 25.188042 0.687500
41 NaN 17.376745 0.500000
42 NaN 19.010385 1.000000
43 NaN 91.841822 0.838750
44 NaN 17.845918 179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000
45 NaN 23.508124 0.500000
46 NaN 33.509762 0.575000
47 NaN 20.271493 0.500000
48 NaN 36.714783 1.000000
49 NaN 26.160832 0.500000
50 NaN 36.626603 1.000000
